char,minx,maxx,miny,maxy,text_id,page
m,363.84,372.16999999999996,626.7779999999999,636.7779999999999,5,0
o,372.16999999999996,377.72999999999996,626.7779999999999,636.7779999999999,5,0
r,377.72999999999996,381.05999999999995,626.7779999999999,636.7779999999999,5,0
e,381.05999999999995,386.61999999999995,626.7779999999999,636.7779999999999,5,0
 ,386.61999999999995,389.3999999999999,626.7779999999999,636.7779999999999,5,0
 ,69.25,72.03,614.8259999999999,624.8259999999999,6,0
t,72.03,74.81,614.8259999999999,624.8259999999999,6,0
e,74.81,80.37,614.8259999999999,624.8259999999999,6,0
x,80.37,85.37,614.8259999999999,624.8259999999999,6,0
t,85.37,88.15,614.8259999999999,624.8259999999999,6,0
.,88.15,90.93,614.8259999999999,624.8259999999999,6,0
 ,90.93,93.71000000000001,614.8259999999999,624.8259999999999,6,0
A,93.71000000000001,100.38000000000001,614.8259999999999,624.8259999999999,6,0
n,100.38,105.94,614.8259999999999,624.8259999999999,6,0
d,105.94,111.5,614.8259999999999,624.8259999999999,6,0
 ,111.5,114.28,614.8259999999999,624.8259999999999,6,0
m,114.28,122.61,614.8259999999999,624.8259999999999,6,0
o,122.61000000000001,128.17000000000002,614.8259999999999,624.8259999999999,6,0
r,128.17000000000002,131.50000000000003,614.8259999999999,624.8259999999999,6,0
e,131.5,137.06,614.8259999999999,624.8259999999999,6,0
 ,137.06,139.84,614.8259999999999,624.8259999999999,6,0
t,139.84,142.62,614.8259999999999,624.8259999999999,6,0
e,142.62,148.18,614.8259999999999,624.8259999999999,6,0
x,148.18,153.18,614.8259999999999,624.8259999999999,6,0
t,153.18,155.96,614.8259999999999,624.8259999999999,6,0
.,155.96,158.74,614.8259999999999,624.8259999999999,6,0
 ,158.74,161.52,614.8259999999999,624.8259999999999,6,0
B,161.52,168.19,614.8259999999999,624.8259999999999,6,0
o,168.19,173.75,614.8259999999999,624.8259999999999,6,0
r,173.75,177.08,614.8259999999999,624.8259999999999,6,0
i,177.08,179.3,614.8259999999999,624.8259999999999,6,0
n,179.3,184.86,614.8259999999999,624.8259999999999,6,0
g,184.86,190.42000000000002,614.8259999999999,624.8259999999999,6,0
",",190.42000000000002,193.20000000000002,614.8259999999999,624.8259999999999,6,0
 ,193.20000000000002,195.98000000000002,614.8259999999999,624.8259999999999,6,0
z,195.98000000000002,200.98000000000002,614.8259999999999,624.8259999999999,6,0
z,200.98000000000002,205.98000000000002,614.8259999999999,624.8259999999999,6,0
z,205.98000000000002,210.98000000000002,614.8259999999999,624.8259999999999,6,0
z,210.98000000000002,215.98000000000002,614.8259999999999,624.8259999999999,6,0
z,215.98000000000002,220.98000000000002,614.8259999999999,624.8259999999999,6,0
.,220.98000000000002,223.76000000000002,614.8259999999999,624.8259999999999,6,0
 ,223.76000000000002,226.54000000000002,614.8259999999999,624.8259999999999,6,0
A,226.54000000000002,233.21,614.8259999999999,624.8259999999999,6,0
